日期,时段起,时段止,电价_元每kWh,预测负载_kWh,预测光伏_0点版本_kWh,净负荷预测_kWh,风险余量_kWh,风险净负荷_kWh,参考储电量_kWh,实际负载_kWh,实际光伏_kWh,初始计划购电_kWh,最终购电_kWh,上调量_kWh,下调量_kWh,实际充电_kWh,实际放电_kWh,紧急购电_kWh,弃电_kWh,期初储电量_kWh,期末储电量_kWh,计划费_元,调整费_元,紧急费_元
2025-02-01,0:00,0:10,0.4248,453.22828717948715,0.0,453.22828717948715,3.6315541025641314,456.85984128205126,7734.396270250423,422.0303666666667,0.0,1290.1931746153846,1290.1931746153846,0.0,0.0,833.3333333333333,0.0,0.0,34.8294746153847,6984.396270250423,7734.396270250423,548.0740605766154,0.0,0.0
2025-02-01,0:10,0:20,0.4245,446.9792333333333,0.0,446.9792333333333,0.001053589743533978,446.98028692307685,8484.396270250423,415.4073166666667,0.0,1280.31362025641,1280.31362025641,0.0,0.0,833.3333333333333,0.0,0.0,31.572970256410144,7734.396270250423,8484.396270250423,543.4931317988461,0.0,0.0
2025-02-01,0:20,0:30,0.4269,443.65666666666664,0.0,443.65666666666664,5.409948717948758,449.0666153846154,9234.396270250423,410.7166666666667,0.0,1282.3999487179485,1282.3999487179485,0.0,0.0,833.3333333333333,0.0,0.0,38.349948717948564,8484.396270250423,9234.396270250423,547.4565381076923,0.0,0.0
2025-02-01,0:30,0:40,0.4272,470.65494743589744,0.0,470.65494743589744,8.216228974359046,478.8711764102565,9300.0,430.29479999999995,0.0,551.7642094653419,551.7642094653419,0.0,0.0,121.46940946534193,0.0,0.0,0.0,9234.396270250423,9343.71873876923,235.71367028359407,0.0,0.0
2025-02-01,0:40,0:50,0.4271,485.4567846153846,0.0,485.4567846153846,14.704422564102583,500.1612071794872,10050.0,424.4105833333333,0.0,1333.4945405128205,1333.4945405128205,0.0,0.0,833.3333333333333,0.0,0.0,75.75062384615399,9343.71873876923,10093.71873876923,569.5355182530257,0.0,0.0
2025-02-01,0:50,1:00,0.4285,480.28910256410256,0.0,480.28910256410256,12.120589743589743,492.4096923076923,10050.0,406.0516666666666,0.0,492.4096923076923,492.4096923076923,0.0,0.0,86.35802564102568,0.0,0.0,0.0,10093.71873876923,10171.440961846154,210.99755315384616,0.0,0.0
2025-02-01,1:00,1:10,0.4311,485.2083243589744,0.0,485.2083243589744,13.902031025640984,499.1103553846154,10050.0,436.7501833333333,0.0,499.1103553846154,499.1103553846154,0.0,0.0,62.36017205128206,0.0,0.0,0.0,10171.440961846154,10227.565116692307,215.1664742063077,0.0,0.0
2025-02-01,1:10,1:20,0.4302,473.6337358974359,0.0,473.6337358974359,-0.4196225641026794,473.2141133333332,10050.0,451.7976833333333,0.0,473.2141133333332,473.2141133333332,0.0,0.0,21.416429999999934,0.0,0.0,0.0,10227.565116692307,10246.839903692307,203.57671155599996,0.0,0.0
2025-02-01,1:20,1:30,0.4279,458.8715384615385,0.0,458.8715384615385,13.214846153846109,472.0863846153846,10050.0,446.08,0.0,472.0863846153846,472.0863846153846,0.0,0.0,26.006384615384604,0.0,0.0,0.0,10246.839903692307,10270.245649846154,202.00576397692308,0.0,0.0
2025-02-01,1:30,1:40,0.4312,485.0200192307692,0.0,485.0200192307692,8.17097076923075,493.19098999999994,10050.0,471.7663333333333,0.0,493.19098999999994,493.19098999999994,0.0,0.0,21.424656666666635,0.0,0.0,0.0,10270.245649846154,10289.527840846155,212.66395488799998,0.0,0.0
2025-02-01,1:40,1:50,0.4333,503.3163307692307,0.0,503.3163307692307,9.540335384615375,512.856666153846,10050.0,448.02596666666665,0.0,512.856666153846,512.856666153846,0.0,0.0,64.8306994871794,0.0,0.0,0.0,10289.527840846155,10347.875470384615,222.2207934444615,0.0,0.0
2025-02-01,1:50,2:00,0.4311,497.2958974358974,0.0,497.2958974358974,19.950512820512856,517.2464102564103,10050.0,397.4033333333333,0.0,517.2464102564103,517.2464102564103,0.0,0.0,119.84307692307698,0.0,0.0,0.0,10347.875470384615,10455.734239615385,222.98492746153846,0.0,0.0
2025-02-01,2:00,2:10,0.4293,498.3984551282051,0.0,498.3984551282051,10.54259076923081,508.9410458974359,10050.0,434.0906333333333,0.0,508.9410458974359,508.9410458974359,0.0,0.0,74.85041256410261,0.0,0.0,0.0,10455.734239615385,10523.099610923078,218.48839100376924,0.0,0.0
2025-02-01,2:10,2:20,0.4324,505.21251794871796,0.0,505.21251794871796,18.352164102564117,523.564682051282,10050.0,490.5609166666666,0.0,523.564682051282,523.564682051282,0.0,0.0,33.003765384615406,0.0,0.0,0.0,10523.099610923078,10552.802999769232,226.38936851897435,0.0,0.0
2025-02-01,2:20,2:30,0.4367,507.1983333333333,0.0,507.1983333333333,10.254717948718005,517.4530512820513,10050.0,503.22,0.0,517.4530512820513,517.4530512820513,0.0,0.0,14.233051282051292,0.0,0.0,0.0,10552.802999769232,10565.612745923077,225.9717474948718,0.0,0.0
2025-02-01,2:30,2:40,0.4348,499.6493538461539,0.0,499.6493538461539,-2.8831361538462037,496.7662176923077,10050.0,474.07281666666665,0.0,496.7662176923077,496.7662176923077,0.0,0.0,22.693401025641037,0.0,0.0,0.0,10565.612745923077,10586.036806846154,215.9939514526154,0.0,0.0
2025-02-01,2:40,2:50,0.4335,501.3808961538462,0.0,501.3808961538462,11.885316410256426,513.2662125641026,10050.0,461.38439999999997,0.0,513.2662125641026,513.2662125641026,0.0,0.0,51.88181256410263,0.0,0.0,0.0,10586.036806846154,10632.730438153847,222.50090314653846,0.0,0.0
2025-02-01,2:50,3:00,0.4357,514.197564102564,0.0,514.197564102564,14.014000000000033,528.211564102564,10050.0,476.94166666666666,0.0,528.211564102564,528.211564102564,0.0,0.0,51.26989743589735,0.0,0.0,0.0,10632.730438153847,10678.873345846154,230.14177847948713,0.0,0.0
2025-02-01,3:00,3:10,0.4374,520.2666871794871,0.0,520.2666871794871,4.391379999999886,524.658067179487,10050.0,483.39955,0.0,524.658067179487,524.658067179487,0.0,0.0,41.25851717948706,0.0,0.0,0.0,10678.873345846154,10716.006011307692,229.48543858430764,0.0,0.0
