日期,计划量_kWh,紧急电量_kWh,计划费_元,调整费_元,紧急费_元,合计费用_元,弃电量_kWh,期初储电量_kWh,期末储电量_kWh
2025-02-01,47192.80429381181,42.76809118916094,20066.344654399843,0.0,145.2161598338131,20211.560814233657,8904.185866419104,7178.181410303936,7465.859586845514
2025-02-02,92940.17291485576,8.953834472095423,65760.65940567668,0.0,57.300063704174654,65817.95946938085,10881.793085641126,7465.859586845514,7228.709626928157
2025-02-03,90763.94114647692,36.7413490353008,65142.65847440788,0.0,146.59186960336837,65289.25034401125,6623.581335089205,7228.709626928157,7164.804457428897
2025-02-04,90877.22302778106,25.95978295852126,64880.14458729238,0.0,131.1318231673747,65011.27641045975,5377.527582715339,7164.804457428897,7107.462353344462
2025-02-05,90066.31975758183,77.63619363371242,64473.720233480104,0.0,360.51970293552455,64834.23993641563,5419.775043643889,7107.462353344462,6890.6331745256675
2025-02-06,90856.34218358155,26.130865437763646,64768.655300564504,0.0,187.37577045987223,64956.03107102438,6425.723330595938,6890.6331745256675,6840.607633198834
2025-02-07,43983.1583882611,8.156928881157057,18443.03442315282,0.0,16.489231733258993,18459.52365488608,8768.405594143485,6840.607633198834,6586.694230823411
2025-02-08,40868.49318679232,26.270334421629798,17049.830476806226,0.0,95.78376779268743,17145.614244598914,5623.347146733022,6586.694230823411,6731.366156319108
2025-02-09,86404.47702323984,42.9386832770232,60460.054803796585,0.0,237.57073709804965,60697.62554089464,2724.0075093302744,6731.366156319108,6542.797515719859
2025-02-10,86962.18078582897,100.51566466341649,59367.16664605829,0.0,489.31920491272933,59856.485850971025,9062.070031694871,6542.797515719859,6430.234266704593
2025-02-11,85083.70577460711,0.0,58346.70576296178,0.0,0.0,58346.70576296178,5953.655198572243,6430.234266704593,6219.946281974217
2025-02-12,84361.5251744846,138.52961611533328,57557.47688174367,0.0,667.4543973598084,58224.931279103475,5042.858609862147,6219.946281974217,6324.641599568606
2025-02-13,84175.25106479679,108.14035413208205,56818.4243245377,0.0,257.2805914391058,57075.70491597681,9078.082026356742,6324.641599568606,6474.8960123159895
2025-02-14,37081.50212969209,189.18148328811856,15460.53774353647,0.0,715.6315347305631,16176.169278267032,3671.9922860400397,6474.8960123159895,6585.1616118555485
2025-02-15,36136.912511970324,112.99539970638655,15481.35366079838,0.0,365.59452532812355,15846.948186126505,3851.547875007389,6585.1616118555485,6075.323638128056
2025-02-16,80884.6757581485,530.5608367903415,54934.70639447778,0.0,2704.049423795279,57638.75581827306,1610.9124178084455,6075.323638128056,6306.267929525975
2025-02-17,81036.86315925521,118.81963988233622,54788.81109961317,0.0,551.7672769840735,55340.578376597245,6248.917647373764,6306.267929525975,6297.177325497884
2025-02-18,79936.77470156114,72.83230536089309,53191.03712133943,0.0,391.30914873402963,53582.34627007346,3723.6729894013365,6297.177325497884,6470.923544262487
2025-02-19,79805.70803303225,120.48986140751913,53007.52131923505,0.0,376.8668400165323,53384.38815925158,3257.4139192600064,6470.923544262487,6019.1102258718565
2025-02-20,79707.4894019535,208.33762665921063,53332.87574706812,0.0,934.7672004661077,54267.64294753423,4491.679339951618,6019.1102258718565,6433.3930309177995
2025-02-21,35625.04873897665,99.9857269899978,14992.566258238621,0.0,276.33219240485573,15268.898450643477,6367.90358333733,6433.3930309177995,6460.57126938175
2025-02-22,35386.30963584485,305.0571154661264,14950.887982706652,0.0,1146.0159418280666,16096.90392453472,4041.532088854299,6460.57126938175,6493.689278786478
2025-02-23,78009.69999200302,115.57022570042477,51879.916091571664,0.0,470.9256783407399,52350.841769912404,2728.029848394908,6493.689278786478,6300.2415054546
2025-02-24,77712.78669759334,330.9320877181859,51516.54093550972,0.0,1513.6072964428345,53030.14823195255,5949.13287143161,6300.2415054546,6483.843249122272
2025-02-25,77043.80839976846,106.5873116463616,50156.0250907647,0.0,376.8852416480872,50532.91033241279,7914.931682220933,6483.843249122272,6276.7782630342235
2025-02-26,76376.80078382212,323.599546750699,49925.7269536165,0.0,1453.5671627626382,51379.29411637913,3294.637590641536,6276.7782630342235,6649.379156343032
2025-02-27,74958.68692057718,510.6389284119225,47688.07624317309,0.0,2824.8104470460494,50512.88669021914,4456.610009890677,6649.379156343032,6406.593728285496
2025-02-28,34243.90104250451,48.122948558485746,14002.685869147068,0.0,116.30380431414318,14118.98967346121,7556.5686419404,6406.593728285496,6454.1008895150235
2025-03-01,34282.163770969346,144.35739140579932,14054.710867041476,0.0,474.42384306258145,14529.134710104057,7378.084158685241,6454.1008895150235,6496.342310817719
2025-03-02,74786.84556173321,2709.0357912989834,48934.05047659563,0.0,14605.86327670256,63539.913753298184,1451.417728096611,6496.342310817719,6311.081503032353
2025-03-03,77205.48433566703,749.0360572304212,50679.81277008354,0.0,3480.288268006932,54160.10103809047,1501.6402961463425,6311.081503032353,6285.028786925711
2025-03-04,78979.28297569834,47.11372831046435,52172.21457330887,0.0,213.82610382087165,52386.04067712974,5701.193014350456,6285.028786925711,6475.83717342343
2025-03-05,79722.00097999228,0.0,51403.368314103594,0.0,0.0,51403.368314103594,9789.941077675041,6475.83717342343,6489.40634020833
2025-03-06,78749.07362078488,95.9007954098009,50996.91822767036,0.0,416.7048955811449,51413.623123251506,9196.966903627981,6489.40634020833,6503.0010430238535
2025-03-07,33859.76988766808,31.495330747296805,13787.359677874681,0.0,112.88510261803945,13900.244780492721,9736.330802883225,6503.0010430238535,6593.682550661187
2025-03-08,32423.344323647547,49.59960440003135,13382.695599083414,0.0,176.43798146016917,13559.133580543583,10088.014738706817,6593.682550661187,6617.166610166945
2025-03-09,73445.95428262565,8.004142181782527,46307.29493374668,0.0,37.23526942965231,46344.53020317633,6150.266740127874,6617.166610166945,6599.72140501759
2025-03-10,72217.63420564524,548.7558365994959,47001.09542947008,0.0,2674.0130662088204,49675.1084956789,677.4485217839397,6599.72140501759,6495.748589083798
2025-03-11,73308.60597923852,298.68812726812683,46674.42302050626,0.0,1399.0929683983509,48073.51598890461,5728.287618379752,6495.748589083798,6664.269594018934
2025-03-12,72796.98754016444,155.78632079901206,45841.94690712244,0.0,852.8747915595368,46694.821698681975,7004.335416923542,6664.269594018934,6421.499057851304
2025-03-13,71763.2001804069,869.7397982362263,45885.45106158326,0.0,4359.176312074934,50244.62737365819,957.1564770926844,6421.499057851304,6346.237976791998
2025-03-14,31302.60179859601,52.02883921654529,12614.822444910988,0.0,196.93865064286484,12811.761095553853,11917.54209252792,6346.237976791998,6692.3223776582045
2025-03-15,31300.79935828421,0.0,12903.702787512946,0.0,0.0,12903.702787512946,7533.930673140483,6692.3223776582045,6074.297707585222
2025-03-16,71805.28286864725,1.6400000000001,44923.924423483666,0.0,8.081100000000493,44932.00552348367,3667.1501097021414,6074.297707585222,6721.254945432835
2025-03-17,70936.93301409666,0.0,43348.39422778117,0.0,0.0,43348.39422778117,9417.598512929413,6721.254945432835,6703.43823738233
2025-03-18,69336.85537423124,0.0,42864.13529844856,0.0,0.0,42864.13529844856,4256.242473705097,6703.43823738233,6551.098560122653
