日期,计划量_kWh,初始计划量_kWh,最终常规量_kWh,上调量_kWh,下调量_kWh,紧急电量_kWh,计划费_元,调整费_元,紧急费_元,合计费用_元,弃电量_kWh,期初储电量_kWh,期末储电量_kWh,调整提交次数
2025-02-01,46961.80514595297,46961.80514595297,41090.575074758046,0.0,5871.230071194931,0.0,20201.493451844115,-1553.509814993625,0.0,18647.98363685049,3698.130330334895,6827.2703146576,6040.499213921859,3
2025-02-02,93960.54957867446,93960.54957867446,85543.24318394907,0.0,8417.306394725383,60.79109499944195,66036.1816688137,-3613.910267276734,352.5883509967633,62774.85975253373,2777.688220801745,6040.499213921859,6110.059626385642,3
2025-02-03,95222.08201955818,95222.08201955818,87034.83422205549,0.0,8187.247797502692,154.8903251101525,68356.08894215178,-3627.166209051181,769.0683762697731,65497.99110937037,2255.5071132679,6110.059626385642,6321.470619094503,3
2025-02-04,96865.37859685207,96865.37859685207,88354.85553520982,287.4893235822383,8798.012385224487,0.0,70007.27184738411,-3485.8375563565232,0.0,66521.43429102759,2834.280636105642,6321.470619094503,6089.43063394146,3
2025-02-05,90844.69146493197,90844.69146493197,87536.50794083187,0.0,3308.1835241000917,88.82918594066132,64511.868818467214,-1486.1846029479716,581.875582504302,63607.55979802355,2152.410550311197,6089.43063394146,6288.047303708852,3
2025-02-06,96798.64428530887,96798.64428530887,86869.35429879313,226.37266257880412,10155.662649094538,62.539248725124935,69772.61409538312,-4210.702814181706,430.20910536157066,65992.12038656298,2077.312111062869,6288.047303708852,6302.604064997413,3
2025-02-07,46082.6483627005,46082.6483627005,39970.20185634501,0.0,6112.4465063554835,251.13877059869282,19347.867417580892,-1397.9901023259429,1045.114984434888,18994.992299689835,4984.923752622265,6302.604064997413,5986.723086462131,3
2025-02-08,38033.47480432203,38033.47480432203,38440.649735630344,509.38126103643884,102.2063297281262,0.0,15611.540904254254,601.797752995653,0.0,16213.338657249908,2594.1916963702893,5986.723086462131,6387.6502937625155,3
2025-02-09,89348.38349275826,89348.38349275826,86862.64635596768,81.9926796299543,2567.7298164205295,0.0,62928.132606014464,-1069.6141134910763,0.0,61858.518492523384,3010.5206095051044,6387.6502937625155,6293.935131228893,3
2025-02-10,85489.74877605512,85489.74877605512,79557.26804248602,0.0,5932.48073356911,0.0,58169.07737541372,-2420.079941331794,0.0,55748.997434081924,1239.1368468141454,6293.935131228893,6005.04835075124,3
2025-02-11,86418.99107038594,86418.99107038594,80643.48214949833,0.0,5775.50892088759,316.201641065326,59438.14814120151,-2467.2353262998727,1656.1885506338422,58627.10136553548,1160.5001057898075,6005.04835075124,6093.990481485573,3
2025-02-12,86482.20932999424,86482.20932999424,80299.69203826254,582.1357936662114,6764.653085397897,531.2513445484935,59266.054290837754,-1746.4487475481703,2829.3900413552624,60348.99558464484,1104.947558968723,6093.990481485573,6067.694482113755,3
2025-02-13,81191.32082273325,81191.32082273325,77808.17054136426,392.5736044249337,3775.7238857939105,16.05224154141174,54049.83807587292,-894.0352559411256,70.8947596439868,53226.69757957578,2141.865551563261,6067.694482113755,6133.386856557196,3
2025-02-14,36826.47209023036,36826.47209023036,37703.29873819949,889.1688589565147,12.34221098738476,0.0,15065.831741978873,929.2433465194879,0.0,15995.07508849836,3963.98446946076,6133.386856557196,6378.5501393293,3
2025-02-15,36682.02804318152,36682.02804318152,36519.09804492211,287.247085389844,450.17708364925437,0.0,15777.382652428272,180.33680342196973,0.0,15957.719455850242,3929.5559888738144,6378.5501393293,6091.39335542006,3
2025-02-16,85694.0118069,85694.0118069,80107.12529432648,888.7616992162137,6475.64821178971,0.0,59033.792750070534,-1063.7973295131603,0.0,57969.995420557374,311.7655324525706,6091.39335542006,6240.32147433483,3
2025-02-17,85126.43452194172,85126.43452194172,75728.59202887848,457.55915991975166,9855.40165298299,3.1494081123473734,57841.57031342761,-2814.562656018662,20.54516382089809,55047.552821229845,770.8481680692084,6240.32147433483,6114.007014076278,3
2025-02-18,75700.72970904934,75700.72970904934,77062.7516139529,2393.2612712034074,1031.2393662998243,0.0,49907.94105394953,2815.305588389476,0.0,52723.24664233901,728.8008028895183,6114.007014076278,6412.725875343643,3
