date,cost_plan,cost_emg,cost_total
2025-02-01,18308.89816649009,166.81469212386963,18475.71285861396
2025-02-02,65505.111240740385,54.767085089743745,65559.87832583013
2025-02-03,64658.9429663005,97.33268653367449,64756.27565283417
2025-02-04,64763.46096183337,127.39605346193062,64890.8570152953
2025-02-05,64438.06922685801,162.56971331340515,64600.63894017141
2025-02-06,64959.54597591837,186.50319362297307,65146.049169541344
2025-02-07,18238.598756719173,0.0,18238.598756719173
2025-02-08,16991.225693004846,94.57242738394787,17085.798120388794
2025-02-09,60655.338186334135,84.10198514114423,60739.44017147528
2025-02-10,59468.29633471975,379.97682816232077,59848.27316288207
2025-02-11,58367.59295294364,0.0,58367.59295294364
2025-02-12,57388.25468719305,634.7433609441279,58022.99804813718
2025-02-13,56806.006594456565,28.207521585925974,56834.214116042494
2025-02-14,15532.44482780941,684.4480678125086,16216.892895621919
2025-02-15,15497.998021213167,357.79488773998276,15855.79290895315
2025-02-16,54901.21476205649,3032.81400959734,57934.02877165383
2025-02-17,54734.60280271196,568.4602250263438,55303.0630277383
2025-02-18,53133.44777961704,387.2700973698136,53520.717876986855
2025-02-19,52942.13546355102,1113.5159010045086,54055.65136455553
2025-02-20,53722.84209040417,660.1088132864913,54382.95090369066
2025-02-21,15094.173927766366,248.78983992646326,15342.963767692829
2025-02-22,14914.998057426616,1196.9839070031167,16111.981964429731
2025-02-23,52127.255148485856,372.86099009401494,52500.11613857987
2025-02-24,51694.15898650451,1400.7265974191753,53094.885583923686
2025-02-25,50236.40118530451,698.3580005716528,50934.75918587616
2025-02-26,50166.971634934,1556.6713579078037,51723.64299284181
2025-02-27,48199.42776793061,2606.236700949757,50805.664468880364
2025-02-28,14102.72521275268,175.36329520902797,14278.08850796171
2025-03-01,14121.215573559854,452.49327417935217,14573.708847739206
2025-03-02,49031.79983686442,14413.600210462308,63445.40004732672
2025-03-03,50496.6671896809,3184.173842852208,53680.841032533106
2025-03-04,52225.750493898544,287.09162124942685,52512.84211514797
2025-03-05,51557.162061388015,165.10256793491038,51722.264629322926
2025-03-06,51510.101743594416,330.9077921839919,51841.00953577841
2025-03-07,13901.025923849604,93.25677865166088,13994.282702501265
2025-03-08,13277.79217794021,175.21216985520556,13453.004347795415
2025-03-09,46440.636657270676,514.9361308479993,46955.572788118676
2025-03-10,47172.16473277629,2894.9931016476694,50067.15783442396
2025-03-11,46963.55190414496,1387.513524182569,48351.06542832753
2025-03-12,45845.87687669336,996.4768288570546,46842.35370555041
2025-03-13,46020.364191975765,4549.768892780923,50570.133084756686
2025-03-14,12672.164633535014,197.21704936932184,12869.381682904335
2025-03-15,12926.826950616854,0.0,12926.826950616854
2025-03-16,44747.15944298671,8.081100000000493,44755.240542986714
2025-03-17,43434.035884094046,0.0,43434.035884094046
2025-03-18,42759.47932566151,728.6266177494103,43488.10594341092
2025-03-19,42560.513705216494,0.0,42560.513705216494
2025-03-20,42906.492794213,0.0,42906.492794213
2025-03-21,12017.996691664895,0.0,12017.996691664895
2025-03-22,12362.757340567136,0.0,12362.757340567136
2025-03-23,41111.58518560104,30.657777762753152,41142.242963363795
2025-03-24,41039.551047057845,0.0,41039.551047057845
2025-03-25,40322.39803438107,0.0,40322.39803438107
2025-03-26,40216.70199728393,0.0,40216.70199728393
2025-03-27,40123.15465198358,0.0,40123.15465198358
2025-03-28,11894.675534734799,0.0,11894.675534734799
2025-03-29,11761.981570199245,0.0,11761.981570199245
2025-03-30,38029.27822301595,0.0,38029.27822301595
2025-03-31,37559.374922529336,1499.105222876943,39058.480145406276
2025-04-01,39049.529352375845,6544.125935824766,45593.65528820061
2025-04-02,38742.14124811032,8988.141072849998,47730.282320960316
2025-04-03,39630.48834797538,49.06844247506438,39679.55679045044
2025-04-04,11307.053392205951,0.0,11307.053392205951
2025-04-05,11482.042513639115,0.0,11482.042513639115
2025-04-06,39207.87968607883,0.0,39207.87968607883
2025-04-07,37819.218025171685,0.0,37819.218025171685
2025-04-08,37596.40730963042,497.8890726666623,38094.296382297085
2025-04-09,37801.4226780764,5584.680500732476,43386.10317880887
2025-04-10,38608.88084375731,0.0,38608.88084375731
2025-04-11,11335.855238342372,0.0,11335.855238342372
2025-04-12,10965.258749212288,0.0,10965.258749212288
2025-04-13,37409.238401591596,0.0,37409.238401591596
2025-04-14,36456.15134238224,8.094330511043655,36464.24567289328
2025-04-15,36477.52998123692,0.0,36477.52998123692
2025-04-16,36401.76576318733,0.0,36401.76576318733
2025-04-17,36581.663938873724,0.0,36581.663938873724
2025-04-18,10966.631720583573,0.0,10966.631720583573
2025-04-19,10549.762177923134,0.0,10549.762177923134
2025-04-20,35789.78367409204,0.0,35789.78367409204
2025-04-21,35838.90384158049,0.0,35838.90384158049
2025-04-22,35538.405140474606,0.0,35538.405140474606
2025-04-23,36073.98934192177,0.0,36073.98934192177
2025-04-24,35159.30583236317,0.0,35159.30583236317
2025-04-25,9952.260434320906,0.0,9952.260434320906
2025-04-26,10127.367944675272,0.0,10127.367944675272
2025-04-27,32820.357852975096,4170.490454247129,36990.84830722222
2025-04-28,34488.445617376594,21385.540458950836,55873.986076327434
2025-04-29,34164.2744217025,663.8028645628559,34828.07728626536
2025-04-30,34078.203549523154,0.0,34078.203549523154
2025-05-01,35347.553275547645,11020.292706927918,46367.84598247556
2025-05-02,11036.49817153003,9719.380377784426,20755.878549314453
2025-05-03,11011.679913940323,6136.3329108658445,17148.012824806166
2025-05-04,36409.28983062741,8246.131543814103,44655.42137444151
2025-05-05,36483.347665696885,8391.120268834144,44874.46793453103
2025-05-06,37188.36872785888,6728.07930553418,43916.448033393055
2025-05-07,37650.16261198242,9010.789019309419,46660.95163129184
2025-05-08,39438.55298256787,254.40669975000054,39692.959682317865
2025-05-09,12715.474125173841,0.0,12715.474125173841
2025-05-10,12701.06725092687,0.0,12701.06725092687
2025-05-11,40009.2611494559,272.24827716666715,40281.50942662257
2025-05-12,40418.49353804342,0.0,40418.49353804342
2025-05-13,39455.181294299284,0.0,39455.181294299284
2025-05-14,39261.45929216832,0.0,39261.45929216832
2025-05-15,39452.01589424934,0.0,39452.01589424934
2025-05-16,12284.608369058715,0.0,12284.608369058715
2025-05-17,12741.999913185657,0.0,12741.999913185657
2025-05-18,38927.44904766667,0.0,38927.44904766667
2025-05-19,37876.087209278776,467.5827616666674,38343.66997094544
2025-05-20,38014.651022096936,0.0,38014.651022096936
2025-05-21,38554.56687197009,0.0,38554.56687197009
2025-05-22,37831.63650080803,16.86434000000033,37848.50084080803
2025-05-23,12165.617655352115,0.0,12165.617655352115
2025-05-24,12758.492770165485,0.0,12758.492770165485
2025-05-25,38030.43008994807,0.0,38030.43008994807
2025-05-26,37046.43149511471,0.0,37046.43149511471
2025-05-27,37339.87947700507,0.0,37339.87947700507
2025-05-28,37555.18432445849,0.0,37555.18432445849
2025-05-29,37146.103461674094,119.80442173333444,37265.90788340743
2025-05-30,12351.205871511658,0.0,12351.205871511658
2025-05-31,12108.697681622752,0.0,12108.697681622752
2025-06-01,41493.88700396812,66603.04399623087,108096.931000199
2025-06-02,43675.9643392492,43220.865675080015,86896.83001432921
2025-06-03,45839.49142032811,19035.382001801256,64874.87342212936
2025-06-04,47349.92943974381,15814.35188372392,63164.28132346773
2025-06-05,49545.28681353397,13916.9495254557,63462.23633898966
2025-06-06,15073.363157500291,22373.14080893856,37446.503966438846
2025-06-07,18192.459223571263,1512.7807249215937,19705.239948492857
2025-06-08,62898.143036212074,0.0,62898.143036212074
