日期,时段起,时段止,0点预测电价_元每kWh,实际电价_元每kWh,实际负载_kWh,实际光伏_kWh,预测负载_kWh,预测光伏_kWh,净负荷预测_kWh,价格加权风险余量_kWh,风险净负荷_kWh,参考储电量_kWh,初始计划购电_kWh,最终购电_kWh,上调量_kWh,下调量_kWh,实际充电_kWh,实际放电_kWh,紧急购电_kWh,弃电_kWh,储电量_kWh,计划费_元,紧急费_元,预估计划费_元
2025-02-01,0:00,0:10,0.34107,0.3281,422.0303666666667,0.0,453.22828717948715,0.0,453.22828717948715,3.40930000000003,456.6375871794872,7284.20637303416,1289.9709205128204,1289.9709205128204,0.0,0.0,833.3333333333333,0.0,0.0,34.607220512820504,7284.20637303416,423.2394590202564,0.0,439.9703818593076
2025-02-01,0:10,0:20,0.36215,0.3257,415.4073166666667,0.0,446.9792333333333,0.0,446.9792333333333,3.96140128205127,450.94063461538457,7284.20637303416,450.94063461538457,450.94063461538457,0.0,0.0,35.533317948717865,0.0,0.0,0.0,7316.186359188006,146.87136469423075,0.0,163.30815082596155
2025-02-01,0:20,0:30,0.32771,0.3041,410.7166666666667,0.0,443.65666666666664,0.0,443.65666666666664,6.736410256410295,450.39307692307693,8034.20637303416,1283.7264102564102,1283.7264102564102,0.0,0.0,833.3333333333333,0.0,0.0,39.676410256410236,8066.186359188006,390.3812013589743,0.0,420.6899819051282
2025-02-01,0:30,0:40,0.32433,0.3126,430.29479999999995,0.0,470.65494743589744,0.0,470.65494743589744,8.164198717948807,478.81914615384625,8784.20637303416,1312.1524794871796,1312.1524794871796,0.0,0.0,833.3333333333333,0.0,0.0,48.52434615384641,8816.186359188006,410.1788650876923,0.0,425.57041367207694
2025-02-01,0:40,0:50,0.35322000000000003,0.3286,424.4105833333333,0.0,485.4567846153846,0.0,485.4567846153846,14.766133333333414,500.222917948718,9300.0,1073.3269479107628,1073.3269479107628,0.0,0.0,648.9163645774295,0.0,0.0,0.0,9400.211087307693,352.69523508347663,0.0,379.1205445410397
2025-02-01,0:50,1:00,0.38066,0.3438,406.0516666666666,0.0,480.28910256410256,0.0,480.28910256410256,13.0896153846154,493.37871794871796,9300.0,493.37871794871796,493.37871794871796,0.0,0.0,87.32705128205134,0.0,0.0,0.0,9478.805433461539,169.62360323076922,0.0,187.809542774359
2025-02-01,1:00,1:10,0.37496999999999997,0.3704,436.7501833333333,0.0,485.2083243589744,0.0,485.2083243589744,17.090191025641047,502.2985153846154,9300.0,502.2985153846154,502.2985153846154,0.0,0.0,65.5483320512821,0.0,0.0,0.0,9537.798932307693,186.05137009846155,0.0,188.34687431376923
2025-02-01,1:10,1:20,0.35973,0.3746,451.7976833333333,0.0,473.6337358974359,0.0,473.6337358974359,0.5426564102564271,474.1763923076923,9300.0,474.1763923076923,474.1763923076923,0.0,0.0,22.37870897435903,0.0,0.0,0.0,9557.939770384615,177.62647655846155,0.0,170.57547360484614
2025-02-01,1:20,1:30,0.36047999999999997,0.3606,446.08,0.0,458.8715384615385,0.0,458.8715384615385,14.717307692307713,473.5888461538462,9300.0,473.5888461538462,473.5888461538462,0.0,0.0,27.508846153846207,0.0,0.0,0.0,9582.697731923077,170.77613792307693,0.0,170.71930726153846
2025-02-01,1:30,1:40,0.37823,0.3582,471.7663333333333,0.0,485.0200192307692,0.0,485.0200192307692,15.759187179487185,500.7792064102564,9300.0,500.7792064102564,500.7792064102564,0.0,0.0,29.012873076923086,0.0,0.0,0.0,9608.809317692308,179.37911173615385,0.0,189.40971924055128
