date,cost_plan_adj,cost_emg,cost_total
2025-02-01,17824.63396942335,1057.177767705401,18881.81173712875
2025-02-02,60697.157209242694,2450.790690337989,63147.947899580686
2025-02-03,63110.498784575495,1775.4113227727362,64885.91010734823
2025-02-04,65330.8977209572,1384.5208794516188,66715.41860040881
2025-02-05,62036.16351537194,2533.0165072987706,64569.18002267071
2025-02-06,64832.06391982647,423.21840841700146,65255.28232824347
2025-02-07,17321.650188296248,2612.6703620469625,19934.32055034321
2025-02-08,15979.581656944549,2.464120401156239,15982.045777345706
2025-02-09,60847.11824382942,0.0,60847.11824382942
2025-02-10,54649.75416655165,102.82230933333317,54752.576475884984
2025-02-11,55902.10756447772,3112.171787850324,59014.27935232805
2025-02-12,56425.0705203533,2726.9250773719605,59151.99559772526
2025-02-13,52362.6369419236,599.4231082328317,52962.06005015643
2025-02-14,15947.071339617152,20.04766647038838,15967.119006087541
2025-02-15,15849.09954377105,0.0,15849.09954377105
2025-02-16,57368.66629932205,2016.4241771389452,59385.090476460995
2025-02-17,54453.477997513604,394.4998745658645,54847.97787207947
2025-02-18,52982.06341231145,216.19353900566736,53198.25695131712
2025-02-19,53121.84461056013,980.4215541580555,54102.26616471819
2025-02-20,52044.0751716119,2163.7004758591647,54207.77564747106
2025-02-21,15164.10564023505,0.0,15164.10564023505
2025-02-22,15602.534437318649,0.0,15602.534437318649
2025-02-23,51947.28199052859,91.03570268956238,52038.31769321815
2025-02-24,49268.273030791905,287.86778134400015,49556.140812135905
2025-02-25,47766.70864990905,314.02106765000025,48080.72971755905
2025-02-26,50585.576855024396,0.0,50585.576855024396
2025-02-27,46992.7547283034,1167.8817604971518,48160.63648880055
2025-02-28,13864.93880266105,0.0,13864.93880266105
2025-03-01,13880.512396400409,2877.687220069275,16758.199616469683
2025-03-02,52616.009888285604,2500.727753741187,55116.73764202679
2025-03-03,53182.12277394101,2253.5148584848166,55435.63763242582
2025-03-04,49753.77398523108,1457.245510420471,51211.01949565155
2025-03-05,48897.18045810939,2401.618819709643,51298.79927781903
2025-03-06,46084.971126687706,624.70403343882,46709.67516012653
2025-03-07,13608.38605045315,1484.320887891667,15092.706938344816
2025-03-08,13964.458562840402,0.0,13964.458562840402
2025-03-09,44795.18706894929,0.0,44795.18706894929
2025-03-10,49751.09852925295,0.0,49751.09852925295
2025-03-11,46490.203258067704,231.5555843151809,46721.758842382886
2025-03-12,44006.37947024565,0.0,44006.37947024565
2025-03-13,48645.90659290677,248.46082753333178,48894.3674204401
2025-03-14,13063.27743680229,0.0,13063.27743680229
2025-03-15,12819.021613169749,134.33861717199693,12953.360230341747
2025-03-16,45353.4120955954,8.081100000000493,45361.4931955954
2025-03-17,40934.009818557504,820.2983492608225,41754.30816781833
2025-03-18,43221.20518154975,0.0,43221.20518154975
2025-03-19,42236.1778088115,0.0,42236.1778088115
2025-03-20,43312.3288841011,1365.6226393434952,44677.95152344459
2025-03-21,12213.576416780874,0.0,12213.576416780874
2025-03-22,12685.30760141275,0.0,12685.30760141275
2025-03-23,41073.74917088151,356.429539206001,41430.17871008751
2025-03-24,40576.432996385396,384.4002638210647,40960.83326020646
2025-03-25,42722.49052216525,0.0,42722.49052216525
2025-03-26,38919.71410527697,0.0,38919.71410527697
2025-03-27,39554.85141636348,563.3658660873156,40118.2172824508
2025-03-28,11881.116555367698,0.0,11881.116555367698
2025-03-29,11770.365829423565,0.0,11770.365829423565
2025-03-30,37854.70289390585,0.0,37854.70289390585
2025-03-31,39008.4679785741,0.0,39008.4679785741
2025-04-01,42013.3929056957,0.0,42013.3929056957
2025-04-02,41030.437670349405,138.28976506000615,41168.72743540941
2025-04-03,39419.37477386451,207.75299038665344,39627.12776425116
2025-04-04,10736.973841985102,0.0,10736.973841985102
2025-04-05,11601.81535278326,0.0,11601.81535278326
2025-04-06,37080.4838847282,1313.0613618697569,38393.545246597954
2025-04-07,35685.112379850936,0.0,35685.112379850936
2025-04-08,37381.6493863271,1764.385202565329,39146.034588892435
2025-04-09,39503.2790914965,206.46069532215418,39709.73978681865
2025-04-10,37704.5741313064,219.0747249903605,37923.64885629676
2025-04-11,11049.04227812824,93.77692990524638,11142.819208033487
2025-04-12,10864.84226734275,0.0,10864.84226734275
2025-04-13,36346.6071787335,0.0,36346.6071787335
2025-04-14,36380.2396516508,678.3067267664089,37058.54637841721
2025-04-15,33604.5802332129,223.7747775600318,33828.35501077293
2025-04-16,37467.77629572247,0.0,37467.77629572247
2025-04-17,35555.0604859745,245.96791446138926,35801.02840043589
2025-04-18,10376.64791852355,0.0,10376.64791852355
2025-04-19,10338.9764795321,0.0,10338.9764795321
2025-04-20,35136.29460938752,164.25451177828893,35300.54912116581
2025-04-21,33454.3775394735,0.0,33454.3775394735
2025-04-22,35163.931314377296,0.0,35163.931314377296
2025-04-23,35298.31118623645,0.0,35298.31118623645
2025-04-24,32486.02574703675,0.0,32486.02574703675
2025-04-25,9543.990817358339,370.4024741380297,9914.393291496368
2025-04-26,10071.4262894536,393.2631992968926,10464.689488750493
2025-04-27,33370.3018715841,1152.449506884694,34522.7513784688
2025-04-28,38595.1122900145,69.78380488258841,38664.896094897085
2025-04-29,32171.5267136825,976.9772062015935,33148.50391988409
2025-04-30,30603.3042993455,2686.8056573148133,33290.10995666031
2025-05-01,35588.417705655986,8554.378030810642,44142.79573646663
2025-05-02,12067.086029014805,5014.340728663754,17081.426757678557
2025-05-03,11332.9514157465,6708.860902036248,18041.812317782747
2025-05-04,35948.24048342403,7028.379394494115,42976.61987791814
2025-05-05,37363.5643456451,6321.014911228467,43684.57925687356
2025-05-06,37514.428298268496,5800.748874013321,43315.177172281816
2025-05-07,38310.16163086135,6019.86085730944,44330.02248817079
2025-05-08,39179.58043555645,254.40669975000054,39433.987135306445
2025-05-09,12421.826454228649,0.0,12421.826454228649
2025-05-10,12703.23896202871,0.0,12703.23896202871
2025-05-11,37908.9117403728,497.4209458737273,38406.332686246526
2025-05-12,37363.83648710625,0.0,37363.83648710625
2025-05-13,37768.34112611557,0.0,37768.34112611557
2025-05-14,37013.20973193568,0.0,37013.20973193568
2025-05-15,37592.892708572894,0.0,37592.892708572894
2025-05-16,11582.13842835315,0.0,11582.13842835315
2025-05-17,12734.8406415887,0.0,12734.8406415887
2025-05-18,38138.69280154249,0.0,38138.69280154249
2025-05-19,34587.4180736086,467.5827616666674,35055.00083527526
2025-05-20,36529.50673279781,0.0,36529.50673279781
2025-05-21,36944.30056233505,0.0,36944.30056233505
2025-05-22,34873.3978595778,16.86434000000033,34890.2621995778
2025-05-23,12418.625161752096,0.0,12418.625161752096
2025-05-24,12110.80017761264,0.0,12110.80017761264
2025-05-25,35125.68261688831,0.0,35125.68261688831
2025-05-26,38273.97596500765,0.0,38273.97596500765
2025-05-27,35137.852762552706,1819.0377544282494,36956.89051698096
2025-05-28,36690.4400941311,0.0,36690.4400941311
2025-05-29,38870.029616249376,119.80442173333444,38989.83403798271
