date,cost_plan_adj,cost_emg,cost_total
2025-02-01,17806.73681686035,1057.177767705401,18863.91458456575
2025-02-02,60847.84443610745,2411.2990373393877,63259.143473446835
2025-02-03,63216.03575412559,1732.882065328724,64948.91781945431
2025-02-04,65459.93598275269,1393.4617055185995,66853.39768827129
2025-02-05,62229.271338824336,2496.081077336339,64725.35241616068
2025-02-06,64760.25447183798,423.21840841700146,65183.47288025498
2025-02-07,17409.418831285097,2597.0420917387555,20006.460923023853
2025-02-08,15976.328011052048,2.464120401156239,15978.792131453205
2025-02-09,60936.34520114825,0.0,60936.34520114825
2025-02-10,54957.59604953115,0.0,54957.59604953115
2025-02-11,55855.6626657806,2552.7025535266503,58408.36521930725
2025-02-12,56542.471722703296,3489.265999654482,60031.73772235778
2025-02-13,52878.441297595644,523.1527098410411,53401.59400743669
2025-02-14,15889.988765240749,113.30528003519125,16003.29404527594
2025-02-15,16010.00491738705,0.0,16010.00491738705
2025-02-16,57527.999893890694,1659.9003457601325,59187.90023965083
2025-02-17,54646.76323607445,382.4028463645483,55029.166082439
2025-02-18,52974.744432213796,0.0,52974.744432213796
2025-02-19,53365.9627374328,770.337799319661,54136.30053675246
2025-02-20,51958.36294318095,2057.2667806095224,54015.62972379047
2025-02-21,15150.73143805055,0.0,15150.73143805055
2025-02-22,15756.71088110565,0.0,15756.71088110565
2025-02-23,51857.99990987615,233.75909057557368,52091.75900045172
2025-02-24,49470.0766196259,154.65946571900002,49624.7360853449
2025-02-25,47771.6844467996,159.57954000000012,47931.2639867996
2025-02-26,50594.0533016478,0.0,50594.0533016478
2025-02-27,46758.5403810733,1167.8817604971518,47926.42214157045
2025-02-28,13936.8194566013,0.0,13936.8194566013
2025-03-01,13835.91944522941,2837.4977327217825,16673.417177951193
2025-03-02,52851.295004700354,2547.966260836725,55399.261265537076
2025-03-03,53643.930833706254,2261.6545991386174,55905.58543284487
2025-03-04,49981.0869468238,1458.971632202396,51440.0585790262
2025-03-05,49167.41739116473,2349.0290113672945,51516.44640253203
2025-03-06,45808.76033025856,532.2081012522169,46340.96843151078
2025-03-07,13588.313257822701,1499.3341315558334,15087.647389378535
2025-03-08,14094.257158803899,0.0,14094.257158803899
