日期,时段起,时段止,预测电价_元每kWh,实际电价_元每kWh,实际负载_kWh,实际光伏_kWh,预测负载_kWh,预测光伏_kWh,净负荷预测_kWh,价格加权风险余量_kWh,风险净负荷_kWh,参考储电量_kWh,计划购电_kWh,实际充电_kWh,实际放电_kWh,紧急购电_kWh,弃电_kWh,储电量_kWh,计划费_元,紧急费_元,预估计划费_元
2025-02-01,0:00,0:10,0.34107,0.3281,422.0303666666667,0.0,452.04727112444135,0.0,452.04727112444135,13.390770863309399,465.43804198775075,7757.443720668558,1298.771375321084,833.3333333333333,0.0,0.0,43.40767532108407,7757.443720668558,426.12688824284766,0.0,442.97195298076207
2025-02-01,0:10,0:20,0.36215,0.3257,415.4073166666667,0.0,447.9665846741942,0.0,447.9665846741942,12.832783333333396,460.7993680075276,7757.443720668558,460.7993680075276,45.39205134086092,0.0,0.0,0.0,7798.296566875333,150.08235416005175,0.0,166.87849112392615
2025-02-01,0:20,0:30,0.32771,0.3041,410.7166666666667,0.0,446.47869912961653,0.0,446.47869912961653,21.106153846153802,467.58485297577033,8507.443720668558,1300.9181863091035,833.3333333333333,0.0,0.0,56.86818630910352,8548.296566875333,395.60922045659834,0.0,426.3238988353563
2025-02-01,0:30,0:40,0.32433,0.3126,430.29479999999995,0.0,469.25960943307456,0.0,469.25960943307456,13.34603273381299,482.60564216688755,9257.443720668558,1315.9389755002207,833.3333333333333,0.0,0.0,52.310842166887596,9298.296566875333,411.362523741369,0.0,426.7984879239866
2025-02-01,0:40,0:50,0.35322000000000003,0.3286,424.4105833333333,0.0,481.5435485179958,0.0,481.5435485179958,28.05211666666662,509.59566518466244,9300.0,556.8804199973758,132.46983666404253,0.0,0.0,0.0,9417.519419872971,182.9909060111377,0.0,196.7013019514731
2025-02-01,0:50,1:00,0.38066,0.3438,406.0516666666666,0.0,478.44832627617035,0.0,478.44832627617035,37.1843285371703,515.6326548133407,9300.0,515.6326548133407,109.58098814667403,0.0,0.0,0.0,9516.142309204977,177.27450672482652,0.0,196.28072638124624
2025-02-01,1:00,1:10,0.37496999999999997,0.3704,436.7501833333333,0.0,485.51749171959534,0.0,485.51749171959534,23.894539743589803,509.41203146318514,9300.0,509.41203146318514,72.66184812985182,0.0,0.0,0.0,9581.537972521844,188.6862164539638,0.0,191.01422943775052
2025-02-01,1:10,1:20,0.35973,0.3746,451.7976833333333,0.0,475.23465742178314,0.0,475.23465742178314,31.841183333333333,507.0758407551165,9300.0,507.0758407551165,55.27815742178319,0.0,0.0,0.0,9631.288314201449,189.95060994686662,0.0,182.41039219483804
2025-02-01,1:20,1:30,0.36047999999999997,0.3606,446.08,0.0,460.52127381792513,0.0,460.52127381792513,30.656666666666638,491.1779404845918,9300.0,491.1779404845918,45.09794048459179,0.0,0.0,0.0,9671.87646063758,177.11876533874377,0.0,177.05982398588563
2025-02-01,1:30,1:40,0.37823,0.3582,471.7663333333333,0.0,485.3378888143966,0.0,485.3378888143966,30.360197482014257,515.6980862964108,9300.0,515.6980862964108,43.931752963077486,0.0,0.0,0.0,9711.41503830435,184.72305451137436,0.0,195.05248717989147
2025-02-01,1:40,1:50,0.36783,0.3041,448.02596666666665,0.0,503.36935158786173,0.0,503.36935158786173,19.181866666666735,522.5512182545285,9300.0,522.5512182545285,74.52525158786187,0.0,0.0,0.0,9778.487764733427,158.9078254712021,0.0,192.21001461056323
2025-02-01,1:50,2:00,0.33558000000000004,0.2537,397.4033333333333,0.0,498.0405198776758,0.0,498.0405198776758,38.613369304556386,536.6538891822322,10050.0,1369.9872225155655,833.3333333333333,0.0,0.0,139.2505558488989,10528.487764733427,347.56575835219894,0.0,459.7403121317735
2025-02-01,2:00,2:10,0.33599,0.3346,434.0906333333333,0.0,498.50047778169835,0.0,498.50047778169835,21.307833333333406,519.8083111150318,10800.0,1353.141644448365,301.68026140730336,0.0,0.0,617.3707497077285,10800.0,452.76119423242295,0.0,454.6420611182062
2025-02-01,2:10,2:20,0.36402,0.3971,490.5609166666666,0.0,505.0670998823806,0.0,505.0670998823806,32.73651019184649,537.8036100742271,10800.0,537.8036100742271,0.0,0.0,0.0,47.242693407560466,10800.0,213.56181356047557,0.0,195.77127013922015
2025-02-01,2:20,2:30,0.38808000000000004,0.367,503.22,0.0,507.7578852034816,0.0,507.7578852034816,22.749871794871865,530.5077569983534,10800.0,530.5077569983534,0.0,0.0,0.0,27.287756998353416,10800.0,194.6963468183957,0.0,205.87945033592104
2025-02-01,2:30,2:40,0.38200999999999996,0.3185,474.07281666666665,0.0,500.625651340861,0.0,500.625651340861,10.223525539568413,510.8491768804294,10800.0,510.8491768804294,0.0,0.0,0.0,36.77636021376276,10800.0,162.70546283641676,0.0,195.14949406009282
2025-02-01,2:40,2:50,0.38479,0.3285,461.38439999999997,0.0,502.84137904022583,0.0,502.84137904022583,28.101870948186956,530.9432499884128,10800.0,530.9432499884128,0.0,0.0,0.0,69.55884998841287,10800.0,174.41485762119362,0.0,204.30165316304138
2025-02-01,2:50,3:00,0.40437999999999996,0.3772,476.94166666666666,0.0,515.5863820277582,0.0,515.5863820277582,29.74333333333334,545.3297153610915,10800.0,545.3297153610915,0.0,0.0,0.0,68.38804869442487,10800.0,205.69836863420372,0.0,220.52043029771818
2025-02-01,3:00,3:10,0.41055,0.3815,483.39955,0.0,520.3430694660079,0.0,520.3430694660079,19.30379659752839,539.6468660635363,10800.0,539.6468660635363,0.0,0.0,0.0,56.247316063536346,10800.0,205.87527940323912,0.0,221.55202086238486
2025-02-01,3:10,3:20,0.40864,0.3822,486.6019166666666,0.0,516.9485876146789,0.0,516.9485876146789,11.204083333333415,528.1526709480123,10800.0,528.1526709480123,0.0,0.0,0.0,41.55075428134569,10800.0,201.85995083633028,0.0,215.82430745619575
2025-02-01,3:20,3:30,0.40925,0.3962,498.84833333333336,0.0,509.2667854622441,0.0,509.2667854622441,20.49128205128204,529.7580675135262,10800.0,529.7580675135262,0.0,0.0,0.0,30.9097341801928,10800.0,209.89014634885905,0.0,216.8034891299106
2025-02-01,3:30,3:40,0.41401999999999994,0.3879,518.3097333333333,0.0,503.57061343213365,0.0,503.57061343213365,24.67068867859234,528.241302110726,10800.0,528.241302110726,0.0,0.0,0.0,9.931568777392727,10800.0,204.90480108875062,0.0,218.70246389988276
2025-02-01,3:40,3:50,0.40524000000000004,0.3405,509.13346666666666,0.0,517.540768901435,0.0,517.540768901435,26.903351282051176,544.4441201834861,10800.0,544.4441201834861,0.0,0.0,0.0,35.31065351681946,10800.0,185.38322292247705,0.0,220.63053526315593
2025-02-01,3:50,4:00,0.39230999999999994,0.3164,483.6166666666666,0.0,536.5816913667372,0.0,536.5816913667372,21.53602564102573,558.117717007763,10800.0,558.117717007763,0.0,0.0,0.0,74.50105034109635,10800.0,176.5884456612562,0.0,218.95516155931546
2025-02-01,4:00,4:10,0.40284,0.3916,491.1868,0.0,527.3697415549282,0.0,527.3697415549282,23.688737170263835,551.058478725192,10800.0,551.058478725192,0.0,0.0,0.0,59.871678725192,10800.0,215.79450026878519,0.0,221.98839756965634
